Date,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
201103   ,1.32   ,2.46   ,3.31  ,-1.45   ,0.47   ,0.96
201104   ,1.87   ,3.04   ,2.78   ,1.75   ,2.85   ,3.35
201105  ,-3.76  ,-2.24  ,-0.82  ,-2.97  ,-1.25  ,-0.56
201106  ,-3.95  ,-1.26  ,-0.80  ,-3.37  ,-1.64  ,-1.05
201107  ,-3.03  ,-3.16  ,-2.20  ,-4.01  ,-2.18  ,-0.97
201108  ,-9.70  ,-6.50  ,-9.08  ,-7.34  ,-5.39  ,-4.66
201109 ,-13.43 ,-10.85 ,-11.56 ,-10.19  ,-8.52  ,-6.74
201110  ,14.90  ,13.28  ,15.19  ,12.71  ,11.46  ,10.27
201111  ,-1.92   ,0.05  ,-1.06  ,-2.35   ,0.25   ,0.27
201112  ,-0.19   ,0.28   ,0.11   ,0.62   ,0.37   ,0.26
201201   ,8.13   ,6.31   ,6.60   ,6.41   ,4.45   ,4.72
201202   ,3.20   ,2.53   ,4.14   ,4.68   ,4.06   ,4.58
201203   ,1.46   ,1.80   ,1.03   ,3.78   ,1.69   ,2.51
201204  ,-1.79  ,-1.43  ,-1.08  ,-1.74   ,0.02  ,-0.34
201205  ,-8.00  ,-6.25  ,-6.44  ,-8.15  ,-6.61  ,-5.75
201206   ,4.78   ,3.67   ,3.86   ,4.80   ,3.01   ,3.77
201207  ,-1.57   ,0.07  ,-1.40   ,0.01   ,1.93   ,1.36
201208   ,3.83   ,3.85   ,3.08   ,3.69   ,2.67   ,2.12
201209   ,3.87   ,3.89   ,3.14   ,4.34   ,2.90   ,1.59
201210  ,-2.00  ,-1.39  ,-1.80  ,-0.42  ,-1.38  ,-2.45
201211  ,-0.20   ,1.01   ,1.77   ,0.34   ,1.63  ,-0.07
201212   ,3.38   ,3.03   ,3.65   ,3.10   ,1.26  ,-0.27
201301   ,5.76   ,5.37   ,6.59   ,6.30   ,5.84   ,3.98
201302   ,0.21  ,-0.18   ,0.37   ,1.02   ,0.96   ,1.21
201303   ,3.85   ,4.24   ,5.71   ,3.88   ,3.17   ,3.78
201304  ,-1.34  ,-0.74  ,-1.60   ,1.04   ,1.26   ,2.04
201305   ,3.99   ,4.16   ,4.17   ,4.62   ,1.12   ,2.13
201306  ,-0.92  ,-0.35  ,-1.22  ,-1.84  ,-0.90  ,-2.20
201307   ,7.72   ,7.09   ,7.12   ,6.67   ,5.46   ,4.82
201308  ,-2.27  ,-2.83  ,-1.82  ,-3.04  ,-2.71  ,-1.91
201309   ,4.84   ,6.15   ,5.93   ,3.87   ,3.97   ,2.96
201310   ,1.37   ,4.08   ,3.70   ,3.35   ,4.66   ,4.48
201311   ,3.57   ,3.22   ,4.05   ,2.96   ,1.88   ,3.47
201312   ,2.35   ,2.02   ,2.08   ,3.52   ,2.39   ,2.44
