Date,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
200906   ,0.83   ,1.06   ,1.69   ,1.07  ,-0.98  ,-0.66
200907  ,12.40   ,9.26   ,9.66   ,8.02   ,8.23   ,7.42
200908   ,6.02   ,2.59   ,2.21   ,3.97   ,2.22   ,2.93
200909   ,7.61   ,6.84   ,7.91   ,3.14   ,4.07   ,5.50
200910  ,-7.59  ,-5.31  ,-5.75  ,-1.95  ,-2.77  ,-2.04
200911   ,3.49   ,3.35   ,4.83   ,5.51   ,6.28   ,6.00
200912   ,8.76   ,7.28   ,7.53   ,1.50   ,2.38   ,3.67
201001  ,-2.51  ,-2.96  ,-3.78  ,-3.00  ,-2.88  ,-5.44
201002   ,5.45   ,4.87   ,4.83   ,3.13   ,3.74   ,3.68
201003   ,9.08   ,7.84   ,6.71   ,5.90   ,5.56   ,6.90
201004   ,6.61   ,6.09   ,4.14   ,1.56   ,1.39   ,1.55
201005  ,-9.08  ,-7.06  ,-7.55  ,-7.09  ,-7.38  ,-9.21
201006  ,-8.89  ,-6.94  ,-6.06  ,-4.80  ,-4.76  ,-6.38
201007   ,8.01   ,7.34   ,5.80   ,7.88   ,7.04   ,6.04
201008  ,-7.42  ,-5.90  ,-5.56  ,-6.74  ,-4.04  ,-2.33
201009  ,13.70  ,11.74  ,12.70   ,8.78   ,8.70  ,10.02
201010   ,4.57   ,4.01   ,4.81   ,3.86   ,4.13   ,3.40
201011   ,4.33   ,4.17   ,4.18   ,1.01   ,0.56  ,-0.17
201012   ,9.72   ,7.55   ,7.91   ,8.79   ,6.10   ,5.63
201101   ,1.05  ,-0.20  ,-0.36   ,2.61   ,2.39   ,1.55
201102   ,5.62   ,6.22   ,5.83   ,3.49   ,3.82   ,4.06
201103   ,2.54   ,2.79   ,1.14   ,0.16   ,0.41   ,0.05
201104   ,1.81   ,3.03   ,3.03   ,2.11   ,3.77   ,2.08
201105  ,-2.87  ,-2.06  ,-2.58  ,-2.20  ,-1.07  ,-1.04
201106  ,-2.69  ,-1.44  ,-2.87  ,-2.27  ,-1.22  ,-2.27
201107  ,-3.18  ,-3.14  ,-2.86  ,-3.70  ,-2.68  ,-0.19
201108  ,-9.79  ,-7.62  ,-8.58  ,-5.66  ,-5.61  ,-5.54
201109 ,-12.32 ,-11.09 ,-13.11  ,-7.98  ,-8.68  ,-7.69
201110  ,14.49  ,14.57  ,14.49  ,10.76  ,11.74  ,11.09
201111  ,-0.88  ,-0.18  ,-2.46  ,-0.19  ,-0.23  ,-0.73
201112   ,0.78   ,0.49  ,-1.11   ,2.23   ,0.71  ,-1.75
201201   ,7.37   ,6.22   ,8.25   ,3.81   ,5.32   ,5.85
201202   ,3.84   ,2.92   ,2.73   ,4.53   ,3.68   ,5.36
201203   ,2.50   ,2.13   ,0.30   ,3.14   ,2.05   ,2.50
201204  ,-1.26  ,-1.30  ,-2.11  ,-0.21  ,-0.83  ,-0.40
201205  ,-6.24  ,-6.50  ,-8.72  ,-4.67  ,-7.19  ,-7.66
201206   ,4.89   ,3.85   ,4.24   ,4.38   ,3.28   ,3.58
201207  ,-1.45  ,-0.49  ,-1.17   ,1.30   ,1.44   ,0.83
201208   ,3.95   ,2.59   ,4.15   ,2.33   ,1.87   ,4.37
201209   ,3.62   ,3.71   ,3.92   ,3.90   ,2.35   ,2.09
201210  ,-1.55  ,-0.86  ,-3.02  ,-0.68  ,-0.88  ,-3.74
201211   ,1.35   ,1.01  ,-0.66   ,1.01   ,0.13   ,1.31
201212   ,3.61   ,3.07   ,3.19   ,1.51   ,1.14   ,0.53
201301   ,6.30   ,6.11   ,5.05   ,6.60   ,5.49   ,3.41
201302   ,0.43   ,0.61  ,-0.47   ,1.29   ,1.46   ,0.02
201303   ,4.98   ,4.16   ,3.89   ,4.63   ,3.92   ,1.99
201304   ,0.02  ,-0.98  ,-2.21   ,1.32   ,1.58   ,1.57
201305   ,4.07   ,3.71   ,4.90   ,2.00   ,2.12   ,3.16
201306  ,-0.90   ,0.02  ,-0.86  ,-2.14  ,-0.84  ,-2.45
201307   ,8.60   ,6.56   ,7.01   ,5.05   ,4.93   ,7.10
201308  ,-3.20  ,-2.94  ,-0.89  ,-3.04  ,-3.21  ,-0.72
201309   ,5.23   ,5.56   ,6.09   ,2.97   ,3.46   ,4.69
201310   ,3.00   ,2.87   ,1.71   ,4.39   ,4.11   ,4.43
201311   ,4.32   ,3.51   ,2.87   ,2.44   ,2.88   ,2.66
201312   ,2.32   ,2.11   ,2.22   ,2.67   ,2.17   ,3.60
201401  ,-2.34  ,-4.10  ,-1.97  ,-4.37  ,-3.51  ,-2.40
201402   ,4.89   ,3.97   ,5.57   ,4.69   ,4.28   ,5.41
201403  ,-0.16   ,1.14  ,-1.61   ,1.05   ,2.00  ,-1.78
201404  ,-2.76  ,-2.01  ,-3.23   ,1.38   ,0.46  ,-0.14
201405   ,0.13   ,1.01   ,0.01   ,1.21   ,1.90   ,3.67
201406   ,5.38   ,3.90   ,7.52   ,1.50   ,2.49   ,3.70
201407  ,-4.74  ,-5.28  ,-7.02  ,-2.42  ,-1.97  ,-0.12
201408   ,4.66   ,4.42   ,4.54   ,3.83   ,3.63   ,4.93
201409  ,-6.88  ,-5.90  ,-5.87  ,-2.07  ,-2.37  ,-1.49
201410   ,3.02   ,4.55   ,3.94   ,2.39   ,1.56   ,1.88
201411   ,0.37   ,0.31  ,-0.36   ,2.77   ,1.88   ,3.16
201412   ,1.16   ,2.17   ,1.76   ,0.58  ,-0.04  ,-1.87
201501  ,-4.90  ,-4.82  ,-4.50  ,-3.73  ,-3.98  ,-1.90
201502   ,6.10   ,5.43   ,8.38   ,5.84   ,5.38   ,7.47
201503   ,0.60   ,0.99   ,1.36  ,-1.60  ,-1.37  ,-1.25
201504  ,-0.81  ,-0.92  ,-0.94   ,1.10   ,1.10   ,1.87
201505   ,0.99   ,1.02   ,2.42   ,1.42   ,0.52   ,1.18
201506   ,0.03  ,-0.03   ,1.60  ,-2.20  ,-1.91  ,-1.69
201507  ,-5.57  ,-2.93  ,-2.91   ,0.86   ,1.76   ,2.46
201508  ,-4.49  ,-5.02  ,-6.50  ,-6.03  ,-5.97  ,-6.01
201509  ,-8.10  ,-3.36  ,-6.80  ,-3.00  ,-2.51  ,-3.89
201510   ,6.33   ,5.70   ,5.26   ,8.14   ,6.39   ,9.23
201511   ,2.03   ,2.09   ,3.17   ,0.23  ,-0.05   ,0.82
201512  ,-5.61  ,-5.19  ,-5.47  ,-1.89  ,-2.02  ,-2.74
201601  ,-8.71  ,-6.34 ,-11.10  ,-4.64  ,-4.66  ,-7.66
201602   ,2.76   ,2.31   ,0.14   ,0.82   ,0.71  ,-1.78
201603  ,10.33   ,7.48   ,8.27   ,6.47   ,6.80   ,7.63
201604   ,5.38   ,2.83   ,3.44   ,1.76   ,1.51  ,-1.59
201605  ,-0.40   ,1.20   ,1.18   ,0.70   ,0.86   ,3.65
201606   ,0.19   ,0.64  ,-0.19   ,1.34   ,0.12  ,-2.84
201607   ,5.67   ,4.99   ,6.28   ,2.56   ,3.41   ,5.31
201608   ,1.90   ,1.23   ,2.12  ,-0.10   ,0.76   ,0.14
201609   ,2.73   ,0.79   ,1.69  ,-0.04  ,-0.36   ,1.10
201610  ,-5.44  ,-3.41  ,-5.83  ,-1.76  ,-1.20  ,-2.21
201611  ,11.33  ,10.76   ,7.77   ,4.66   ,5.39   ,1.64
201612   ,1.58   ,3.19   ,1.49   ,1.93   ,2.05   ,1.12
201701   ,1.91   ,0.08   ,1.73   ,0.64   ,1.97   ,4.19
201702  ,-0.06   ,1.42   ,2.56   ,3.19   ,3.67   ,3.60
201703  ,-0.14  ,-0.06   ,1.17   ,0.21  ,-0.47   ,1.14
201704  ,-0.60   ,1.07   ,0.81   ,0.23   ,0.67   ,1.96
201705  ,-2.40  ,-2.30  ,-1.09   ,0.27   ,1.17   ,2.46
201706   ,2.18   ,3.54   ,4.91   ,1.31   ,0.87   ,0.32
201707   ,1.76   ,0.91   ,0.88   ,2.22   ,1.08   ,3.20
201708  ,-1.70  ,-1.80  ,-0.49  ,-1.55  ,-0.04   ,2.09
201709   ,6.45   ,5.52   ,5.53   ,3.26   ,2.76   ,0.89
201710  ,-1.06   ,1.15   ,0.86   ,0.15   ,1.05   ,5.19
201711   ,2.03   ,2.91   ,3.01   ,3.42   ,3.62   ,2.07
201712   ,1.82  ,-0.31   ,1.25   ,2.24   ,1.34   ,0.56
201801   ,3.85   ,1.27   ,2.88   ,4.33   ,4.84   ,7.46
201802  ,-4.56  ,-4.12  ,-3.97  ,-6.27  ,-4.10  ,-1.68
201803  ,-0.43   ,0.56   ,1.44  ,-1.25  ,-2.35  ,-3.05
