Date,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
200705   ,0.19   ,2.16   ,1.70   ,2.51   ,0.78   ,2.98
200706  ,-0.70   ,0.21   ,0.07  ,-1.06  ,-1.33   ,2.68
200707  ,-0.66   ,0.71  ,-0.00  ,-3.27  ,-1.91  ,-1.26
200708  ,-4.65  ,-4.05  ,-4.38  ,-1.58  ,-1.91  ,-0.54
200709   ,2.57   ,2.13   ,0.74   ,6.49   ,3.85   ,6.86
200710   ,4.25   ,5.21   ,5.67   ,4.45   ,3.71   ,6.00
200711  ,-7.10  ,-8.05  ,-8.24  ,-4.79  ,-3.04  ,-2.68
200712  ,-2.94  ,-2.72  ,-2.33  ,-0.90  ,-2.19  ,-1.75
200801  ,-8.94  ,-8.83 ,-10.92 ,-10.09  ,-9.35  ,-9.97
200802   ,4.73   ,4.35   ,4.34   ,1.14   ,1.57   ,2.56
200803  ,-0.83   ,0.42   ,0.56   ,1.75   ,1.37  ,-1.26
200804   ,1.66   ,2.49   ,2.43   ,3.84   ,3.75   ,6.53
200805   ,1.72   ,1.31   ,1.42   ,1.09  ,-0.12   ,2.22
200806  ,-6.37  ,-6.41  ,-7.84  ,-9.23  ,-9.38  ,-7.79
200807  ,-6.07  ,-4.63  ,-4.63  ,-2.45  ,-1.98  ,-5.35
200808  ,-5.44  ,-3.19  ,-3.26  ,-3.84  ,-4.54  ,-4.62
200809 ,-18.09 ,-15.84 ,-18.01 ,-14.69 ,-14.17 ,-15.11
200810 ,-26.95 ,-25.77 ,-26.98 ,-24.46 ,-24.68 ,-16.24
200811  ,-8.67  ,-8.22  ,-7.77  ,-7.64  ,-7.31  ,-6.69
200812   ,5.77   ,6.01   ,4.18   ,6.49   ,9.44   ,4.64
200901  ,-6.36  ,-7.70  ,-7.09 ,-12.49 ,-13.17  ,-9.02
200902  ,-7.37  ,-5.94  ,-4.62 ,-11.93 ,-11.99  ,-8.01
200903   ,4.79   ,4.25   ,5.69   ,5.42   ,9.34   ,6.10
