Date,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
201010  ,-3.52  ,-1.94  ,-0.67   ,1.40   ,2.41   ,1.15
201011   ,4.01   ,2.06   ,2.35   ,3.48   ,1.56   ,1.39
201012  ,10.99  ,10.65   ,9.90   ,8.94   ,7.43   ,6.03
201101   ,2.39   ,2.76   ,1.72   ,0.30   ,0.65  ,-0.10
201102   ,5.19   ,4.15   ,5.28   ,7.16   ,3.13   ,4.94
201103  ,-5.87  ,-4.54  ,-7.32 ,-11.51  ,-7.83  ,-8.39
201104  ,-0.96  ,-1.33   ,1.13  ,-0.33   ,2.07   ,0.67
201105  ,-2.32  ,-1.97  ,-1.19  ,-1.74  ,-0.85  ,-2.09
201106   ,4.06   ,4.70   ,4.62   ,1.81   ,2.71   ,2.20
201107   ,3.57   ,4.22   ,6.40   ,4.60   ,3.78   ,3.73
201108  ,-3.36  ,-2.78  ,-3.22  ,-8.80  ,-9.65  ,-5.50
201109  ,-0.47  ,-0.01  ,-1.56  ,-0.52  ,-1.28   ,0.60
201110  ,-3.78  ,-3.85  ,-2.46  ,-1.24  ,-1.14  ,-0.51
201111  ,-1.08  ,-1.87  ,-2.88  ,-4.15  ,-4.20  ,-3.76
201112   ,2.06   ,2.33   ,2.95   ,1.10   ,1.02   ,1.27
201201   ,7.51   ,6.70   ,4.84   ,6.87   ,5.21   ,0.97
201202   ,1.59   ,0.20   ,1.07   ,5.18   ,4.98   ,1.70
201203   ,1.57   ,2.73   ,4.40  ,-0.03   ,2.08   ,1.23
201204  ,-0.19   ,0.86   ,3.05  ,-3.24  ,-2.55  ,-0.78
201205  ,-8.34  ,-8.17  ,-7.66  ,-9.33  ,-9.05  ,-7.13
201206   ,4.40   ,3.90   ,3.96   ,6.34   ,4.55   ,4.14
201207  ,-1.95  ,-2.08  ,-1.10  ,-0.96  ,-2.50  ,-1.40
201208  ,-0.72  ,-1.12  ,-0.94  ,-2.11  ,-0.19  ,-0.30
201209   ,1.95   ,1.81   ,2.50   ,5.08   ,1.87   ,1.34
201210  ,-2.06  ,-2.55   ,0.37  ,-2.01  ,-1.22  ,-2.78
201211   ,1.71   ,1.19   ,0.36   ,0.60   ,2.79   ,1.22
201212   ,4.04   ,2.90   ,0.91   ,7.34   ,4.34   ,1.32
201301   ,5.13   ,4.57   ,5.63   ,3.23   ,3.69   ,3.77
201302   ,2.94   ,3.57   ,2.31   ,2.73   ,2.74   ,3.14
201303   ,8.39   ,7.51  ,12.29   ,6.43   ,4.75   ,4.93
201304   ,9.34  ,11.08   ,9.67  ,10.93   ,7.42   ,9.35
201305  ,-7.11  ,-2.94  ,-7.85  ,-9.93  ,-4.86  ,-2.94
201306  ,-5.39  ,-4.16  ,-3.45   ,3.14   ,0.86   ,1.39
201307   ,4.09   ,3.42   ,4.61   ,0.55   ,0.56   ,2.13
201308  ,-2.46  ,-1.96  ,-2.27  ,-2.13  ,-2.18  ,-3.21
201309  ,12.58  ,10.31   ,9.48   ,8.68   ,8.61   ,8.27
201310  ,-0.84   ,0.41   ,0.52  ,-0.02   ,0.25  ,-0.93
201311  ,-1.10  ,-1.33  ,-0.64   ,0.53   ,1.95   ,1.28
201312   ,1.06   ,0.63   ,2.09   ,0.20   ,0.99   ,0.91
201401   ,2.07   ,1.48   ,3.65  ,-3.82  ,-3.54  ,-2.44
201402  ,-2.67  ,-1.82  ,-3.15  ,-1.35  ,-0.34   ,0.49
201403   ,0.85   ,0.41  ,-0.27  ,-0.56  ,-1.20  ,-2.02
201404  ,-2.82  ,-1.94  ,-0.83  ,-3.48  ,-2.68  ,-1.31
201405   ,1.98   ,3.20   ,2.72   ,4.24   ,3.68   ,4.10
201406   ,7.77   ,8.25   ,8.52   ,6.51   ,5.48   ,4.66
